cell_id,x_coord,y_coord,collision_count,camera_count,mean_dist_to_camera,mean_precip,mean_snow,downtown,lambda
1222,619304.0,4849231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1223,619304.0,4849731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1224,619304.0,4850231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1225,619304.0,4850731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1226,619304.0,4851231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1227,619304.0,4851731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1228,619304.0,4852231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1229,619304.0,4852731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1230,619304.0,4853231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1231,619304.0,4853731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1232,619304.0,4854231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1233,619304.0,4854731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1234,619304.0,4855231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1235,619304.0,4855731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1236,619304.0,4856231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1237,619304.0,4856731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1238,619304.0,4857231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1239,619304.0,4857731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1240,619804.0,4827231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1241,619804.0,4827731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1242,619804.0,4828231.0,251,0,341.8199472413708,2.645019920318725,0.5776892430278885,0,341.98760113694493
1243,619804.0,4828731.0,116,0,158.54425481345694,1.862068965517241,0.3974137931034482,0,39.39138498079367
1244,619804.0,4829231.0,8,0,229.04037000627076,1.2750000000000001,0.15,0,10.3660574064774
1245,619804.0,4829731.0,62,0,1080.3489535901042,1.5370967741935484,0.23225806451612904,0,50.922575778749476
1246,619804.0,4830231.0,32,0,1364.817278568632,1.609375,0.71875,0,66.72848283273035
1247,619804.0,4830731.0,273,0,1685.5114020700162,3.0395604395604394,0.4864468864468865,0,4464.61189438339
1248,619804.0,4831231.0,982,0,1829.4713195791912,2.4587576374745423,0.37036659877800404,0,1216.3516277454723
1249,619804.0,4831731.0,357,0,2330.0899318783395,2.7487394957983193,0.2929971988795518,0,4698.984384402266
1250,619804.0,4832231.0,24,0,2399.6886720429907,2.6833333333333336,1.4083333333333332,0,2498.0124514449203
1251,619804.0,4832731.0,16,0,1885.489128891882,1.8624999999999998,1.00625,0,200.74415322293257
1252,619804.0,4833231.0,23,0,1632.9641177984029,5.0260869565217385,0.6869565217391305,0,683982.1492201823
1253,619804.0,4833731.0,198,0,1113.8064685038953,2.426767676767677,0.15151515151515152,0,560.8948529803882
1254,619804.0,4834231.0,101,0,898.7439642795314,2.6643564356435645,0.7029702970297029,0,629.158207444801
1255,619804.0,4834731.0,224,0,791.7913811159417,2.764285714285714,0.42321428571428577,0,829.9690046239423
1256,619804.0,4835231.0,141,0,1014.3149556730403,3.717021276595745,0.2737588652482269,0,13750.144953228544
1257,619804.0,4835731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1258,619804.0,4836231.0,5,0,1367.8422589591346,2.08,0.08,0,311.45179189343946
1259,619804.0,4836731.0,8,0,790.4265804054262,1.625,1.775,0,22.03028500322467
1260,619804.0,4837231.0,23,0,417.3804714504952,3.186956521739131,1.6695652173913043,0,903.8976219501081
1261,619804.0,4837731.0,467,0,596.3349496399771,2.47644539614561,0.3293361884368309,0,329.5338052126716
1262,619804.0,4838231.0,180,0,893.5468283165984,3.2183333333333333,0.6311111111111111,0,2751.1785141188607
1263,619804.0,4838731.0,13,0,1184.40438289269,3.153846153846154,2.4461538461538463,0,1337.645147564255
1264,619804.0,4839231.0,149,0,968.8207100542655,2.114765100671141,0.47651006711409394,0,180.66544618006822
1265,619804.0,4839731.0,759,0,1027.9571476407527,2.543083003952569,0.40974967061923584,0,609.7525438992291
1266,619804.0,4840231.0,39,0,455.0255904522752,1.666666666666667,0.015384615384615387,0,39.55262679937249
1267,619804.0,4840731.0,44,0,222.5928703349023,3.0181818181818185,1.0977272727272729,0,617.3334287692887
1268,619804.0,4841231.0,27,0,555.0390855633196,2.6074074074074076,1.2074074074074075,0,289.96033786422225
1269,619804.0,4841731.0,571,0,1009.3281079536059,2.115936952714536,0.40035026269702273,0,196.67338702326555
1270,619804.0,4842231.0,273,0,1571.2585143197193,2.2106227106227108,0.5021978021978022,0,447.99453565487994
1271,619804.0,4842731.0,188,0,1541.3222728663695,2.401063829787234,0.8324468085106383,0,607.4604860985577
1272,619804.0,4843231.0,162,0,1082.273126155611,2.1641975308641976,0.3864197530864198,0,243.57831932657965
1273,619804.0,4843731.0,65,0,646.787815025428,2.795384615384615,0.543076923076923,0,722.9899983936135
1274,619804.0,4844231.0,1158,1,424.5848207415992,2.244818652849741,0.3756476683937824,0,377.3546641271577
1275,619804.0,4844731.0,234,2,216.22848566110073,1.8692307692307695,0.5645299145299145,0,265.9300993852173
1276,619804.0,4845231.0,210,0,310.01085835087844,1.98952380952381,0.5114285714285715,0,61.54759432816779
1277,619804.0,4845731.0,119,0,776.5037723873241,2.547899159663866,0.45714285714285713,0,456.22763144688133
1278,619804.0,4846231.0,392,0,815.3510958771848,2.4492346938775515,0.5316326530612244,0,355.17970736880557
1279,619804.0,4846731.0,72,0,1009.9155664340574,2.2208333333333337,0.9055555555555556,0,202.79026187839867
1280,619804.0,4847231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1281,619804.0,4847731.0,185,0,1709.4135013921327,2.1767567567567565,0.42378378378378384,0,496.66588721445333
1282,619804.0,4848231.0,64,0,2064.227403790854,1.65,0.19375,0,208.16167140406657
1283,619804.0,4848731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1284,619804.0,4849231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
